Sigma Gauss	Esperanza Poisson	Límite de integración ePix 
 [e]	 [e/pxl]	 [e] 
0.203	0.00785971	0.676
0.203	0.00743689	0.678
0.203	0.00703676	0.68
0.203	0.00665811	0.682
0.203	0.00629978	0.684
0.203	0.00596069	0.686
0.203	0.0056398	0.688
0.203	0.00533614	0.69
0.203	0.00504879	0.692
0.203	0.00477687	0.694
0.203	0.00451956	0.696
0.203	0.00427607	0.698
0.203	0.00404566	0.7
0.203	0.00382763	0.702
0.203	0.00362132	0.704
0.203	0.00342609	0.706
0.203	0.00324137	0.708
0.203	0.00306657	0.71
0.203	0.00290117	0.712
0.203	0.00274466	0.714
0.203	0.00259658	0.716
0.203	0.00245645	0.718
0.203	0.00232387	0.72
0.203	0.00219842	0.722
0.203	0.00207972	0.724
0.203	0.00196741	0.726
0.203	0.00186115	0.728
0.203	0.0017606	0.73
0.203	0.00166547	0.732
0.203	0.00157547	0.734
0.203	0.00149031	0.736
0.203	0.00140974	0.738
0.203	0.00133351	0.74
0.203	0.00126139	0.742
0.203	0.00119315	0.744
0.203	0.00112859	0.746
0.203	0.00106752	0.748
0.203	0.00100974	0.75
0.203	0.00095507	0.752
0.203	0.000903352	0.754
0.203	0.000854425	0.756
0.203	0.000808138	0.758
0.203	0.000764349	0.76
0.203	0.000722924	0.762
0.203	0.000683736	0.764
0.203	0.000646664	0.766
0.203	0.000611593	0.768
0.203	0.000578418	0.77
0.203	0.000547035	0.772
0.203	0.000517348	0.774
0.203	0.000489265	0.776
0.203	0.000462701	0.778
0.203	0.000437573	0.78
0.203	0.000413804	0.782
0.203	0.000391321	0.784
0.203	0.000370054	0.786
0.203	0.000349939	0.788
0.203	0.000330912	0.79
0.203	0.000312915	0.792
0.203	0.000295892	0.794
0.203	0.000279792	0.796
0.203	0.000264564	0.798
0.203	0.000250161	0.8
0.203	0.000236538	0.802
0.205	0.339588	0.54
0.205	0.321732	0.542
0.205	0.304815	0.544
0.205	0.288787	0.546
0.205	0.273601	0.548
0.205	0.259213	0.55
0.205	0.245581	0.552
0.205	0.232665	0.554
0.205	0.220429	0.556
