RUNID 	DATESTART	see_oh1 [e/pxl]	occ_oh1 [e/pxl]	see_oh2 [e/pxl]	occ_oh2 [e/pxl]	see_oh3 [e/pxl]	occ_oh3 [e/pxl]	see_oh4 [e/pxl]	occ_oh4 [e/pxl]	lamb_1_ovx [e/pxl]	err_lamb_1_ovx [e/pxl] 	lamb_2_ovx [e/pxl]	err_lamb_2_ovx [e/pxl] 	RN_1_ovx [e]	err_RN_1_ovx [e]	RN_2_ovx [e] 	err_RN_2_ovx [e] 	lamb_1_ovy [e/pxl]	err_lamb_1_ovy [e/pxl] 	lamb_2_ovy [e/pxl]	err_lamb_2_ovy [e/pxl] image_duration [day] exposure_active_area [day] exposure OVX [day] exposure OVY [day] 
17      	2025-02-19T22:36:45	0	0	0	0	0	0	0	0	0.0514591	0.00306249	0.0478512	0.00205291	0.211357	0.00193791	0.20359	0.00133064	1.43781	0.0407634	1.51388	0.0300675	0	0	0	0
19      	2025-02-19T23:40:35	0.00156499	0.0176827	0.00291462	0.0350021	0.00424782	0.0551526	0.0058002	0.077638	0.0184873	0.00178606	0.0186593	0.00125127	0.21307	0.00197258	0.203905	0.00132319	0.545871	0.0124961	0.561266	0.00894836	0.0373148	0.0173684	6.50889e-05	0.0173999
21      	2025-02-20T00:44:26	0.00265565	0.0174322	0.00503481	0.0348372	0.00744789	0.0533082	0.0100474	0.0714615	0.0110908	0.00140068	0.011264	0.000977611	0.215581	0.00194873	0.207799	0.00133063	0.383893	0.00908217	0.380883	0.00628863	0.0373148	0.0173684	6.50889e-05	0.0173999
23      	2025-02-20T01:48:17	0.00292586	0.0155217	0.00572526	0.0307586	0.00847731	0.0458402	0.0114623	0.0608923	0.0125506	0.00146601	0.0109816	0.000968068	0.215415	0.00196177	0.209976	0.00133055	0.315078	0.0077703	0.311811	0.00535754	0.0373032	0.017363	6.50687e-05	0.0173945
25      	2025-02-20T02:52:07	0.00304297	0.0143081	0.00601311	0.0291405	0.0088793	0.0432968	0.0119169	0.0581706	0.0122916	0.00146576	0.00943721	0.000894587	0.213982	0.00197155	0.208923	0.00136473	0.288439	0.00730117	0.298082	0.00517031	0.0373148	0.0173684	6.50889e-05	0.0173999
27      	2025-02-20T03:55:58	0.00321962	0.0136793	0.00619127	0.0279562	0.009164	0.0411207	0.0123812	0.0541238	0.00666683	0.00108308	0.00555312	0.000691731	0.215245	0.00181721	0.208237	0.00130202	0.290986	0.00728709	0.291703	0.00508796	0.0373148	0.0173684	6.50889e-05	0.0173999
29      	2025-02-20T04:59:49	0.00321766	0.0134241	0.00611392	0.0268409	0.00912979	0.0402825	0.0122663	0.0531805	0.00667528	0.00110616	0.00544054	0.000679835	0.216188	0.00193711	0.207507	0.00129944	0.277449	0.00711467	0.282149	0.00499193	0.0373032	0.017363	6.50687e-05	0.0173945
31      	2025-02-20T06:03:39	0.00320523	0.0128654	0.0061564	0.0274997	0.00917683	0.0399227	0.0124203	0.0527119	0.00589002	0.00109836	0.00607366	0.000728896	0.217779	0.00191112	0.210287	0.00133762	0.286888	0.00726672	0.279796	0.0049257	0.0373148	0.0173684	6.50889e-05	0.0173999
33      	2025-02-20T07:07:30	0.00320654	0.0133378	0.00625975	0.0268422	0.00941693	0.039104	0.0126304	0.0518585	0.00678154	0.00112035	0.00691963	0.0007802	0.220932	0.00190738	0.212241	0.00135257	0.261456	0.00674833	0.261783	0.004695	0.0373148	0.0173684	6.50889e-05	0.0173999
35      	2025-02-20T08:11:21	0.00328112	0.0133116	0.00627116	0.0273614	0.0094322	0.0400375	0.0126317	0.0529478	0.00688653	0.00111166	0.00568255	0.000704112	0.220006	0.00198567	0.212604	0.00136782	0.262099	0.00676346	0.258321	0.00463639	0.0373032	0.017363	6.50687e-05	0.0173945
37      	2025-02-20T09:15:11	0.00324514	0.0128628	0.00628511	0.0264573	0.00940471	0.0387185	0.0126561	0.051597	0.00751073	0.00117992	0.00605218	0.000735982	0.223713	0.00199905	0.215194	0.00135064	0.267077	0.00686394	0.269675	0.00480146	0.0373148	0.0173684	6.50889e-05	0.0173999
39      	2025-02-20T10:19:02	0.00322289	0.0130983	0.00619888	0.0265543	0.00923609	0.0401346	0.0124032	0.0543431	0.00792743	0.0011864	0.0076006	0.000809161	0.217559	0.0019809	0.210597	0.00134557	0.269461	0.00691689	0.276772	0.00488649	0.0373148	0.0173684	6.50889e-05	0.0173999
41      	2025-02-20T11:22:52	0.00319803	0.0127365	0.00619761	0.0255969	0.00928496	0.0379023	0.0124985	0.051261	0.00845949	0.00125183	0.00833818	0.000862914	0.225419	0.00197612	0.21529	0.00133108	0.269926	0.00692574	0.270853	0.00482269	0.0373148	0.0173684	6.50889e-05	0.0173999
43      	2025-02-20T12:26:43	0.00319149	0.0131127	0.00620142	0.0270267	0.00931795	0.0388963	0.0126365	0.0516153	0.00510934	0.000977993	0.00546922	0.000691675	0.222753	0.00197991	0.215605	0.00136913	0.266349	0.00689066	0.267025	0.00477461	0.0373148	0.0173684	6.50889e-05	0.0173999
45      	2025-02-20T13:30:34	0.00329094	0.0127123	0.00619254	0.0263115	0.00920432	0.0386324	0.0123121	0.0506653	0.00636342	0.00107825	0.00647915	0.000757595	0.224454	0.00201888	0.215707	0.00138039	0.266055	0.00705671	0.269572	0.00495619	0.0373148	0.0173684	6.50889e-05	0.0173999
